# Reference QAOA results — satisfaction fractions and optimised angles
# Source: QOKit max_k_xor_sat module (C++ tensor contraction, double-double precision)
# Convention: phase gate e^{-i*(gamma/2)*Z^k}, mixer Rx(2*beta)
# gamma and beta fields use ; as separator for multiple depth values
# All configurations use clause_sign = +1 (XORSAT)
# Format: k,D,p,ctilde,source,gamma,beta
2,3,1,0.692450089730,qokit-cpp-dd,0.615479708669823,0.392699081584979
2,3,2,0.755906458214,qokit-cpp-dd,0.487842914087469;0.897862210243068,0.554904240963267;0.292380478291573
2,3,3,0.792398421355,qokit-cpp-dd,0.421875141569494;0.798348163007313;0.936964806703553,0.609008799516459;0.459579261424028;0.23565708904107
2,3,4,0.816876564426,qokit-cpp-dd,0.408754979726743;0.780568139436379;0.988001339398948;1.15687972478949,0.599558953216273;0.434336926814833;0.296749497769973;0.159030123767591
2,3,5,0.836380824619,qokit-cpp-dd,0.35924105649996;0.706086688477243;0.822098068037856;1.00419163923808;1.15393234745197,0.631653309029975;0.522526328372585;0.390152879518194;0.276014106797818;0.149298697545158
2,3,6,0.849897106748,qokit-cpp-dd,0.33140405889598;0.645546044837866;0.731541726890481;0.836875334334063;1.01049382654825;1.12768412850051,0.635857606003453;0.53441297296734;0.463348728632641;0.360027356995636;0.25851886059117;0.13884593150088
2,3,7,0.859784211627,qokit-cpp-dd,0.309728394522959;0.616795643076171;0.688221588862312;0.749938852947107;0.857236100894675;1.02113798256092;1.12599923222577,0.647555436128774;0.553041013111914;0.489248553046342;0.444675924189119;0.340654499295108;0.244291634089614;0.131205175653068
2,3,8,0.867392573009,qokit-cpp-dd,0.293037373265981;0.586201848929931;0.655169823456846;0.708112038777671;0.764496042243068;0.865100600663852;1.02713982298326;1.11671380043608,0.649261047785019;0.555533226680753;0.501193501527659;0.469060733834105;0.420266155763874;0.319480286840839;0.230883464100405;0.122816583644375
2,3,9,0.873474162709,qokit-cpp-dd,0.279405082677192;0.56619002471802;0.631219850287729;0.679022730513991;0.72581542436926;0.767799744279759;0.874428065259505;1.03767994926274;1.11835118322919,0.654538706536942;0.561926920820494;0.508906837282804;0.486522653929363;0.451258157086622;0.403217702755834;0.304745521692682;0.219820641769331;0.117214924703756
2,3,10,0.878413280142,qokit-cpp-dd,0.267512291650903;0.545537434553678;0.610090753946049;0.656318218656142;0.695768474155837;0.728644869562696;0.773513908892116;0.881400522257539;1.04326443358527;1.11536866997674,0.655684588442665;0.563012758790108;0.513621658346551;0.495330514348025;0.46847584783889;0.435088971471928;0.387514476788165;0.290461746882846;0.209983110906214;0.111869475034905
2,3,11,0.882510515799,qokit-cpp-dd,0.257769315071356;0.530401484780718;0.59299605872695;0.637510626113935;0.67316559527293;0.697340664975933;0.734271666623075;0.776348161151352;0.88613181049049;1.04930574972472;1.11602593563255,0.658799677851023;0.565736949255184;0.516460891391132;0.501964465981312;0.479256617713293;0.454985580925285;0.423036624694636;0.374698033418108;0.279470153726366;0.201987137558794;0.108292153862855
